Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200501BS70238,2,1,1,1,30,6,3,0,0,0,0,-1,1,1
200501BS70239,1,1,3,2,54,8,2,6,9,0,0,-1,0,1
200501BS70240,2,1,1,1,24,5,3,0,0,0,0,-1,1,1
200501BS70241,1,1,2,2,36,7,3,0,0,2,0,-1,8,-1
200501BS70243,1,1,1,1,37,7,3,0,0,0,0,-1,9,1
200501BS70244,1,1,1,2,32,6,3,0,0,0,0,-1,9,1
200501BS70245,2,1,1,1,21,5,3,0,0,0,0,-1,3,1
200501BS70247,2,1,1,2,46,8,3,0,0,0,0,-1,1,-1
200501BS70248,1,1,3,1,80,11,3,5,3,0,0,-1,0,1
200501BS70249,1,1,1,1,55,8,3,0,0,0,0,-1,3,-1
200501BS70250,1,1,2,2,88,11,3,0,0,0,2,-1,11,-1
200501BS70251,2,1,1,1,39,7,3,0,0,0,0,-1,5,1
200501BS70252,2,1,1,1,33,6,3,0,0,0,0,-1,3,1
200501BS70253,1,1,1,1,32,6,3,0,0,0,0,-1,5,1
200501BS70254,1,1,1,1,35,6,3,0,0,0,0,-1,3,-1
200501BS70255,2,1,2,2,31,6,3,0,0,0,3,-1,11,-1
200501BS70255,2,2,2,1,4,1,3,0,0,0,3,-1,11,-1
200501BS70256,1,1,3,2,20,4,3,5,1,0,0,-1,0,1
200501BS70258,1,1,1,1,24,5,3,0,0,0,0,-1,1,1
200501BS70259,1,1,1,1,29,6,3,0,0,0,0,-1,3,1
200501BS70259,2,2,1,1,-1,-1,3,0,0,0,0,-1,1,-1
200501BS70260,1,1,1,1,24,5,3,0,0,0,0,-1,3,1
200501BS70261,2,1,1,1,26,6,3,0,0,0,0,-1,1,1
200501BS70262,2,1,1,1,36,7,3,0,0,0,0,-1,3,1
200501BS70263,2,1,1,1,39,7,3,0,0,0,0,-1,5,1
200501BS70264,1,1,1,1,34,6,3,0,0,0,0,-1,9,1
200501BS70266,1,1,1,1,21,5,2,0,0,0,0,-1,1,1
200501BS70267,2,1,1,1,26,6,3,0,0,0,0,-1,9,1
200501BS70268,1,1,2,2,79,11,3,0,0,0,3,-1,11,1
200501BS70269,1,1,1,1,34,6,3,0,0,0,0,-1,2,1
200501BS70270,2,1,1,1,42,7,3,0,0,0,0,-1,1,-1
