Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
200501LX50814,2,9,0,4,0,1,0,0,0,0,2,1,15,1,-1,-1,1598,1,1,-1,-1
200501LX50818,1,9,0,18,0,8,0,0,0,0,1,1,15,3,-1,-1,-1,-1,-1,-1,-1
200501LX50818,2,9,0,18,0,8,0,0,0,0,4,1,15,1,31,6,999,1,12,3,1
200501LX50818,3,9,0,2,0,8,0,0,0,0,2,1,15,3,-1,-1,1299,1,10,-1,-1
200501LX50819,1,9,0,18,0,0,0,0,0,0,1,1,15,1,40,7,-1,-1,-1,5,1
200501LX50820,1,19,0,18,0,1,0,0,0,0,1,1,15,1,31,6,1998,2,1,5,1
200501LX50820,2,9,0,9,0,8,0,0,0,0,3,1,15,2,26,6,1124,1,8,2,1
200501LX50826,1,3,0,18,0,0,0,0,0,0,1,1,15,2,36,7,124,1,5,1,1
200501LX50827,1,9,0,3,0,2,0,0,0,0,4,1,15,1,67,10,1998,1,5,-1,-1
200501LX50827,2,1,0,15,0,2,0,0,0,0,1,1,15,1,-1,-1,-1,-1,-1,4,1
200501LX50828,1,1,0,18,0,1,0,0,0,0,0,1,15,2,39,7,-1,-1,-1,2,1
200501LX50828,2,19,0,7,0,8,0,0,0,0,0,1,1,1,43,7,2295,7,2,2,1
200501LX50829,1,9,0,9,0,8,0,0,0,0,1,1,15,2,48,8,1598,1,5,1,1
200501LX50829,2,3,0,18,0,8,0,0,0,0,1,1,15,1,37,7,-1,-1,-1,4,1
200501LX50830,1,9,0,4,0,2,0,0,0,0,2,1,15,1,35,6,2000,1,9,4,1
200501LX50830,2,3,0,18,0,2,0,0,0,0,1,1,15,1,47,8,124,1,15,4,1
200501LX50833,1,9,0,18,0,8,0,0,0,0,3,1,15,2,21,5,-1,-1,-1,3,1
200501LX50833,2,19,0,18,0,8,0,0,0,0,1,1,15,1,44,7,-1,-1,-1,1,1
200501LX50834,1,5,0,18,0,0,0,0,0,0,3,1,15,1,33,6,599,1,3,1,1
200501LX50834,2,9,0,11,0,0,0,0,0,0,4,1,15,1,-1,-1,1396,1,7,6,1
200501LX50835,1,9,0,5,0,1,0,0,0,0,4,1,15,1,-1,-1,1997,2,3,-1,-1
200501LX50838,1,9,0,7,0,8,0,0,0,0,4,1,15,1,28,6,-1,-1,-1,-1,-1
200501LX50838,2,3,0,15,0,8,0,0,0,0,1,1,15,2,29,6,-1,-1,-1,3,1
200501LX50839,1,9,0,9,0,1,0,0,0,0,3,1,15,1,47,8,1984,1,4,3,1
200501LX50839,2,3,0,13,0,1,0,0,0,0,1,1,15,1,32,6,125,1,2,2,1
200501LX50840,1,3,0,18,0,8,0,0,0,0,1,1,15,1,27,6,85,1,5,4,1
200501LX50840,2,1,0,9,0,8,0,0,0,0,4,1,15,2,48,8,-1,-1,-1,6,1
